regime,traj_idx,E_short,E_max,t_E_max,P_thr_5pct,amp_loss_pct,energy_drift_pct,error_corr_time,t_div,T_max_5pct,T_max_10pct,T_mean_5pct,T_mean_10pct
Pushforward,971,3.5286590671658423e-06,0.000259835521774221,4.41,44.171779141104295,-18.195957720453364,,0.18,3.63,2.4,3.63,4.3500000000000005,
Pushforward,991,5.455659921606845e-06,0.0007382060352938424,4.74,61.96319018404908,-12.856481463741531,,0.18,2.88,1.59,2.88,,
Pushforward,1030,1.3966887826674844e-05,0.00027155392217537155,1.95,84.66257668711657,-14.197459825841408,10093.86033088417,0.15,0.6,0.51,0.6,,
Pushforward,1047,3.3865213206376413e-06,0.0002811220956573379,4.5600000000000005,45.39877300613497,-18.186658916807797,,0.32999999999999996,2.94,2.13,2.94,4.29,4.62
Pushforward,1072,1.1273643492199798e-05,0.0004945264072375721,3.75,74.23312883435582,-27.98786781304389,45925.34372289068,0.24,0.6,0.51,0.6,3.72,
Pushforward,1082,4.8787152342482446e-06,0.0002364982055951259,4.29,45.39877300613497,-15.954519360709705,,0.24,4.14,1.32,4.14,,
Pushforward,1085,3.256544994481658e-06,0.0006459095966420136,4.89,34.355828220858896,-5.251952343125866,,0.27,4.05,3.09,4.05,4.7700000000000005,
Pushforward,1087,2.9383062377866585e-06,0.0005787790641988977,4.74,41.717791411042946,-18.266062645557643,,0.24,3.33,1.68,3.33,4.59,4.8
Pushforward,1091,1.113823655817299e-05,0.00026697250354335445,3.54,85.2760736196319,-17.100378372577584,11720.48951229413,0.15,0.6,0.48,0.6,,
Pushforward,1110,3.296176136502962e-06,0.0006254780423660122,4.47,41.104294478527606,-3.8207657496559873,,0.27,3.66,2.4,3.66,3.75,
Pushforward,1118,3.204777948297353e-06,0.000585585938551958,4.92,34.355828220858896,-6.756784010051453,,0.24,4.05,3.0300000000000002,4.05,4.89,
Pushforward,1178,1.0291496371101853e-05,0.0003992457936874416,4.38,60.736196319018404,-9.471589486693846,,0.24,2.91,1.29,2.91,,
Pushforward,1186,5.262468334898306e-06,0.0003459955396465375,4.38,57.05521472392638,-17.973890967164337,,0.36,2.97,1.32,2.97,4.29,
Pushforward,1192,8.453116105046164e-06,0.00046646472128486494,4.89,69.93865030674847,-7.771973852358156,,0.15,3.0,1.32,3.0,,
Pushforward,1197,2.4971115304167922e-05,0.0003974802084485418,2.5500000000000003,39.263803680981596,-7.964497162141704,17275531.821655083,0.15,,0.93,,,
Pushforward,1237,5.856596947490644e-06,0.0003813693720076117,4.5600000000000005,62.576687116564415,-9.804794625354573,,0.15,4.5,1.5,4.5,,
Pushforward,1280,4.856908832268594e-06,0.0001848418442023103,4.65,68.09815950920246,-3.610943377834708,,0.27,3.18,1.1400000000000001,3.18,3.42,
Pushforward,1281,4.078772203087749e-06,0.0005632729844364803,4.92,30.67484662576687,-4.580556175660983,,0.27,4.2,2.85,4.2,4.23,
Pushforward,1334,5.510116755228665e-06,0.0006776014106435468,4.38,61.34969325153374,-9.761652208761948,,0.18,2.82,1.68,2.82,,
Pushforward,1395,5.933828610143754e-06,0.0002780441536742728,4.92,78.52760736196319,-22.76512367884601,,0.21,1.23,1.11,1.23,3.15,4.92
Pushforward,1412,4.183624517056133e-05,0.0007920544626358605,3.48,92.02453987730061,-14.954585873629068,70.8755592557,0.09,0.33,0.24,0.33,,
Pushforward,1413,0.00011620300505633773,0.0017371554499732156,4.92,93.25153374233129,-0.1463233141421562,78.59284649301875,0.21,0.33,0.33,0.33,4.92,
Pushforward,1422,1.871923373930129e-05,0.0005708330863853917,4.68,96.31901840490798,-21.73326208365229,-17.1761289090162,0.09,0.24,0.21,0.24,4.11,
Pushforward,1429,2.6183894811500876e-05,0.00048667017836123705,4.83,71.77914110429448,-10.990776549061696,112835.42836554375,0.12,1.77,0.78,1.77,,
Pushforward,1485,4.129141198818077e-06,0.0008876576866896357,4.92,42.331288343558285,-16.7560347390418,,0.24,2.94,2.7600000000000002,2.94,4.92,
Pushforward,1499,3.8024875694701043e-06,0.0003244353329137084,4.53,53.987730061349694,-37.767213876748265,,0.36,3.15,1.05,3.15,4.08,4.23
Pushforward,1565,5.715037261469387e-06,0.0005798315960419131,4.65,61.96319018404908,-12.38563875372977,,0.18,2.88,1.59,2.88,,
Pushforward,1602,5.810451404002426e-06,0.00020779292344741407,4.29,63.190184049079754,-21.20022007983015,159246605.24659392,0.42,0.96,0.78,0.96,3.9,
Pushforward,1629,5.2200599722957e-06,0.00044279688881943,4.83,61.34969325153374,-17.715356811300424,,0.39,3.09,1.3800000000000001,3.09,4.32,
Pushforward,1640,1.1072492735620597e-05,0.00029960859819766483,4.11,44.171779141104295,-11.829121711723962,508182793.6081047,0.44999999999999996,2.64,1.1400000000000001,2.64,,
Pushforward,1651,7.927273220581234e-06,0.0006801288081987877,4.29,65.03067484662577,-6.515940525554428,,0.18,3.21,1.5,3.21,,
Pushforward,1728,2.427709845838339e-05,0.00047060136967047583,3.75,29.447852760736197,-4.915377185684669,1599603763.5834289,0.27,,1.1400000000000001,,,
Pushforward,1732,9.872024837739422e-06,0.0002283922940478078,3.54,26.993865030674847,-3.013216483865452,64012747.457103446,0.15,3.5100000000000002,0.96,3.5100000000000002,,
